ISO_TIME,NATURE,LAT,LON,WMO_WIND,WMO_PRES
 , ,degrees_north,degrees_east,kts,mb
5/28/2023 15:00,Tropical,18.3,127.1, , 
5/28/2023 18:00,Tropical,18.6,126.7,85,945
5/28/2023 21:00,Tropical,18.8,126.5, , 
5/29/2023 0:00,Tropical,19,126.2,85,945
5/29/2023 3:00,Tropical,19.2,126, , 
5/29/2023 6:00,Tropical,19.4,125.8,85,945
5/29/2023 9:00,Tropical,19.5,125.7, , 
5/29/2023 12:00,Tropical,19.7,125.6,85,945
5/29/2023 15:00,Tropical,19.9,125.5, , 
5/29/2023 18:00,Tropical,20.1,125.4,85,945
5/29/2023 21:00,Tropical,20.2,125.2, , 
5/30/2023 0:00,Tropical,20.4,125.1,80,950
5/30/2023 3:00,Tropical,20.4,125, , 
5/30/2023 6:00,Tropical,20.6,125,80,950
5/30/2023 9:00,Tropical,20.7,125, , 
5/30/2023 12:00,Tropical,20.8,125,70,955
5/30/2023 15:00,Tropical,21,125, , 
5/30/2023 18:00,Tropical,21.2,125,70,955
5/30/2023 21:00,Tropical,21.3,125, , 
5/31/2023 0:00,Tropical,21.5,125.1,70,955
5/31/2023 3:00,Tropical,21.8,125.2, , 
5/31/2023 6:00,Tropical,22.2,125.3,65,960
5/31/2023 9:00,Tropical,22.5,125.4,65,960
5/31/2023 12:00,Tropical,22.7,125.4,65,960
5/31/2023 15:00,Tropical,23.1,125.5,65,960
5/31/2023 18:00,Tropical,23.5,125.5,60,965
5/31/2023 21:00,Tropical,23.8,125.7,60,965
6/1/2023 0:00,Tropical,24.2,125.8,50,970
6/1/2023 3:00,Tropical,24.5,126,50,970
6/1/2023 6:00,Tropical,24.9,126.2,50,970
6/1/2023 9:00,Tropical,25.4,126.7,50,970
6/1/2023 12:00,Tropical,25.8,127.2,50,970
6/1/2023 15:00,Tropical,26.3,127.6,50,970
6/1/2023 18:00,Tropical,26.8,128.1,50,970
6/1/2023 21:00,Tropical,27.2,128.8,50,970
6/2/2023 0:00,Tropical,27.5,129.5,45,975
6/2/2023 3:00,Tropical,27.9,130.3, , 
6/2/2023 6:00,Tropical,28.3,131.2,45,975
6/2/2023 9:00,Tropical,28.6,132.1, , 
6/2/2023 12:00,Tropical,28.9,133,45,980
6/2/2023 15:00,Tropical,29.3,134.1, , 
6/2/2023 18:00,Tropical,29.7,135.2,45,980
6/2/2023 21:00,Tropical,30.1,136.5, , 
6/3/2023 0:00,Extratropical,30.7,137.9, ,984
6/3/2023 3:00,Extratropical,31.5,139.4, , 
6/3/2023 6:00,Extratropical,32.5,141, ,990
6/3/2023 9:00,Extratropical,33.3,142.6, , 
6/3/2023 12:00,Extratropical,34.1,144.4, ,996
6/4/2023 18:00,Disturbance,11.7,135, , 
6/4/2023 21:00,Disturbance,11.8,134.8, , 
6/5/2023 0:00,Disturbance,11.9,134.6, , 
6/5/2023 3:00,Disturbance,12.1,134.5, , 
6/5/2023 6:00,Disturbance,12.3,134.5, , 
6/5/2023 9:00,Disturbance,12.5,134.5, , 
6/5/2023 12:00,Disturbance,12.7,134.5, , 
6/5/2023 15:00,Disturbance,12.9,134.5, , 
6/5/2023 18:00,Mixture(contradicting report from different agencies),13.2,134.7, , 
6/5/2023 21:00,Mixture(contradicting report from different agencies),13.4,134.7, , 
6/6/2023 0:00,Tropical,13.3,134.8, ,1004
6/6/2023 3:00,Tropical,13.4,134.9, , 
6/6/2023 6:00,Tropical,13.5,135, ,1002
6/6/2023 9:00,Tropical,13.6,135, , 
6/6/2023 12:00,Tropical,13.9,135,35,1000
6/6/2023 15:00,Tropical,14,134.9, , 
6/6/2023 18:00,Tropical,14.2,134.7,35,1000
6/6/2023 21:00,Tropical,14.4,134.4, , 
6/7/2023 0:00,Tropical,14.6,134.2,40,998
6/7/2023 3:00,Tropical,14.8,133.9, , 
6/7/2023 6:00,Tropical,15,133.7,40,996
6/7/2023 9:00,Tropical,15.1,133.4, , 
6/7/2023 12:00,Tropical,15.3,133.1,45,992
6/7/2023 15:00,Tropical,15.4,132.8, , 
6/7/2023 18:00,Tropical,15.6,132.4,50,990
6/7/2023 21:00,Tropical,15.7,132, , 
6/8/2023 0:00,Tropical,15.9,131.6,55,985
6/8/2023 3:00,Tropical,16,131.4, , 
6/8/2023 6:00,Tropical,16.1,131.2,60,980
6/8/2023 9:00,Tropical,16.2,131, , 
6/8/2023 12:00,Tropical,16.4,130.8,70,970
6/8/2023 15:00,Tropical,16.6,130.6, , 
6/8/2023 18:00,Tropical,16.8,130.4,75,965
6/8/2023 21:00,Tropical,17,130.3, , 
6/9/2023 0:00,Tropical,17.3,130.3,75,965
6/9/2023 3:00,Tropical,17.6,130.2, , 
6/9/2023 6:00,Tropical,17.9,130.1,75,965
6/9/2023 9:00,Tropical,18,130, , 
6/9/2023 12:00,Tropical,18.2,129.9,75,965
6/9/2023 15:00,Tropical,18.3,129.9, , 
6/9/2023 18:00,Tropical,18.5,129.9,80,960
6/9/2023 21:00,Tropical,18.7,129.9, , 
6/10/2023 0:00,Tropical,19,129.9,80,960
6/10/2023 3:00,Tropical,19.4,130, , 
6/10/2023 6:00,Tropical,20,130.2,80,960
6/10/2023 9:00,Tropical,20.3,130.4, , 
6/10/2023 12:00,Tropical,20.7,130.6,75,960
6/10/2023 15:00,Tropical,21.3,130.8, , 
6/10/2023 18:00,Tropical,21.9,131,70,965
6/10/2023 21:00,Tropical,22.5,131.3, , 
6/11/2023 0:00,Tropical,23.1,131.7,65,970
6/11/2023 3:00,Tropical,23.6,132, , 
6/11/2023 6:00,Tropical,24.2,132.5,60,975
6/11/2023 9:00,Tropical,24.9,133.1, , 
6/11/2023 12:00,Tropical,25.6,133.8,55,980
6/11/2023 15:00,Tropical,26.1,134.4, , 
6/11/2023 18:00,Tropical,26.6,135.1,55,980
6/11/2023 21:00,Tropical,27.3,135.9, , 
6/12/2023 0:00,Tropical,28,136.8,55,980
6/12/2023 3:00,Tropical,28.7,137.4, , 
6/12/2023 6:00,Tropical,29.4,138.1,50,985
6/12/2023 9:00,Tropical,30,138.7, , 
6/12/2023 12:00,Mixture(contradicting report from different agencies),30.5,139.5, ,990
6/12/2023 15:00,Mixture(contradicting report from different agencies),31.3,140.6, , 
6/12/2023 18:00,Mixture(contradicting report from different agencies),32.1,141.9, ,990
6/12/2023 21:00,Mixture(contradicting report from different agencies),32.9,142.9, , 
6/13/2023 0:00,Mixture(contradicting report from different agencies),33.7,144, ,992
6/13/2023 3:00,Extratropical,34.1,145.2, , 
