fault_latitude,fault_longitude,earthquake_count,average_magnitude,avg_time_between_eq_days
36.2061714,136.94953460825002,3,4.833333333333333,367.02049732060186
35.90696325,137.9550786,3,4.7,537.6010303240741
35.77354098437905,137.950247387538,3,4.7,537.6010303240741
35.62866462,137.85995097335,4,4.775,358.400686882716
35.45057606,137.746697,2,4.6,1055.0130981944444
35.42578983,137.72463187969998,2,4.6,1055.0130981944444
35.58998242,137.81585229249998,3,4.8,527.5154708564814
35.44279271,137.8165588,1,4.7,
35.36229195,137.76019869365,2,4.6,1055.0130981944444
35.27747515,137.76259565145,2,4.65,1460.9692324537036
35.516437062150004,137.68785614595,4,4.725,351.67698057098767
35.431551072649995,137.6409314,2,4.6,1055.0130981944444
35.80739078,137.68526686465,5,4.720000000000001,268.8005151620371
35.74347294,137.6002402,5,4.720000000000001,268.8005151620371
35.84225222,137.7613614,7,4.742857142857143,179.20034344135803
35.68488262,137.63889954755,5,4.720000000000001,268.8005151620371
35.7298284,137.71489524315,5,4.720000000000001,268.8005151620371
35.628611391449994,137.65259699749998,4,4.725,351.67698057098767
35.55772899,137.59310284190002,4,4.725,351.67698057098767
35.90817026,137.21080496185,5,4.7,52.24005144386574
35.790727009950004,137.3013425,5,4.76,255.15923716435188
35.812694026550005,137.20280328085,6,4.783333333333332,204.1273897314815
35.61844905,137.4741374,6,4.75,211.00618834259257
35.60853604,137.52784610665,4,4.725,351.67698057098767
35.44941037,137.53897404179997,2,4.6,1055.0130981944444
35.42272812,137.54642401605003,2,4.6,1055.0130981944444
35.3729462,137.55239041750002,1,4.5,
35.36290968,137.40434422185,4,4.699999999999999,351.6710327314815
35.289559103900004,137.2691578,6,4.733333333333333,292.1983531527777
35.846157432249996,137.33227468135,5,4.84,255.15923716435188
35.76774954,137.41685226405,4,4.725,351.67698057098767
35.71884102,137.23187225779998,2,4.5,0.01784351851851852
35.66252455217675,137.2504115219255,4,4.75,340.2138794830247
35.711834951949996,137.25713981535,3,4.733333333333333,510.31847432870376
35.66968153,137.2071418,1,4.5,
35.636080507627895,137.269421475684,4,4.75,340.2138794830247
35.58571054,137.10220855855,1,4.8,
35.58552456,137.32332577125,6,4.766666666666667,204.1283276898148
35.5957997,137.39609504775,6,4.75,211.00618834259257
35.41775268,137.40264123345003,5,4.72,263.75890787615737
