"number of behavioral segment","name of behavioral segment",trend,dip,length[km],"fault type","upthrown side","slip rate[m/ky]","slip per event[m]","recurrence interval[ky]","age of the last faulting, field data","age of the last faulting, historical record","elapsed time rate","rupture probability[%] BPT","rupture probability[%] Poisson","Behavioral Segment Outline",Locality,Displacement,Event,"note of behavioral segment","note of slip rate","note of slip per event","note of recurrence interval","note of age of last faulting","endpoint latitude(north)","endpoint longitude(north)","endpoint latitude(south)","endpoint longitude(south) "
018-01,Kuromatsunai,350Åã,"30 Åã W",46,Rev.,W,"   1.0","   5.4","   5.4","AD -3785 to -2741",,"   0.98",2,0.6,GO,GO,GO,GO,GO,1,"tentative estimate based on a qualitative assessment of its geomorphic expression and seismic profiling section","tentative estimate based on a qualitative assessment of its geomorphic expression and seismic profiling section","N-S trending west-dipping reverse fault swarm along the western margin of the Kuromatsunai Lowland in western Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression and seismic profiling section","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",42.7738648598,140.3086352453,42.3668491663115,140.399168087782
018-02,Asahihama,20Åã,"45 Åã W",7,Rev.,W,"   0.5",,,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending west-dipping reverse fault along the western shore of Uchiura Bay in western Hokkaido","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its short length",42.5705609743,140.4125863361,42.5109933049,140.3828825254
019-01,Hakodatenishi,10Åã,"45 Åã W",28,Rev.,W,"   0.4","   3.3","   7.7","AD -7835 to -6766",,"   1.21",2,0.4,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1999; Tajika,1996)","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1999; Tajika,1996)","N-S trending west-dipping reverse fault swarm along the western margin of the Hakodate Plain in southwestern Hokkaido","estimate based on vertical displacement of dated terrace  surfaces (Hokkaido,1999; Tajika,1996)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",41.9326901018,140.6546682994,41.6877094513943,140.603905016647
020-01,Noheji,0Åã,"45 Åã W",20,Rev.,W,"   0.3","   2.3","   7.8",,,,,0.4,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending west-dipping reverse fault in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.8717166682,141.0717017906,40.6929719365,141.1022806278
021-01,Aomoriwan-seigan,0Åã,"45 Åã W",16,Rev.,W,"   0.8","   1.9","   2.3",,,,,1,GO,GO,GO,GO,GO,0,"tentative estimate based on comparison with the adjacent Nyunai segment that has similar direction and comparable length","tentative estimate based on comparison with the adjacent Nyunai segment that has similar direction and comparable length","N-S trending west-dipping reverse fault along the western shore of the Aomori Bay in northern Honshu","tentative estimate based on comparison with the adjacent Nyunai segment that has similar direction and comparable length","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.9787639448,140.6207856851,40.8309055529,140.617667846
021-02,Nyunai,0Åã,"45 Åã W",11,Rev.,W,"   0.8","   1.3","   1.5",,,,,2,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces and sediments (Aomoriken,1996)","estimate based on vertical displacement of dated terrace  surfaces and sediments (Aomoriken,1996)","N-S trending west-dipping reverse fault along the western margin of the Aomori Plain in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces and sediments (Aomoriken,1996)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.8146674089,140.7127001387,40.7138826546,140.7193208884
022-01,Tsugarusanchi-seien,340Åã,"45 Åã E",31,Rev.,E,"   0.3","   3.6","  13.0",,"AD 1766","   0.02",0,0.2,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1996)","estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1996)","N-S trending east-dipping reverse fault along the eastern margin of the Tsugaru Plain in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1996)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.9696294759,140.4392476074,40.7067293876,140.5517823545
022-02,Kuroishi,10Åã,"45 Åã E",23,Rev.,E,"   0.2","   2.7","  13.0",,"AD 1766","   0.02",0,0.2,GO,GO,GO,GO,GO,0,"tentative estimate based on comparison with the adjacent Tsugarusanchi-seien segment that has clearer geomorphic expression","tentative estimate based on comparison with the adjacent Tsugarusanchi-seien segment that has clearer geomorphic expression","N-S trending east-dipping reverse fault along the eastern margin of the Tsugaru Plain in northern Honshu","tentative estimate based on comparison with the adjacent Tsugarusanchi-seien segment that has clearer geomorphic expression","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.7830169872,140.6407483041,40.5762191374,140.5900037677
022-03,Namioka,10Åã,"45 Åã W",5,Rev.,W,"   0.3",,,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending west-dipping reverse fault in the east of the Tsugaru Plain, northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its short length",40.7528408619,140.5840890094,40.7045082271,140.5706007754
023-01,Oritsume,350Åã,"60 Åã W",40,Rev.,W,"   0.2","   4.7","  22.0",,,,,0.1,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1997; Miyauchi et al,1985)","estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1997; Miyauchi et al,1985)","N-S trending west-dipping reverse fault in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces (Aomoriken,1997; Miyauchi et al,1985)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.41074794,141.3108030162,40.0677525059,141.4392836434
024-01,Hanawa-higashi,10Åã,"45 Åã E",22,Rev.,E,"   0.5","   2.7","   5.8","AD -13000 to 1868",,"   1.31",3,0.5,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces (Matsuura et al,2007)","estimate based on vertical displacement of dated terrace  surfaces (Matsuura et al,2007)","N-S trending west-dipping reverse fault along the eastern margin of the Hanawa Basin in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces (Matsuura et al,2007)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",40.0688740448,140.7972795221,40.2693810963,140.8507754961
025-01,Noshiro,10Åã,"45 Åã E",22,Rev.,E,"   1.2","   5.4","   4.4","AD 915or more","AD 1694","   0.08",0,0.7,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of correrated reflectors on the seismic profiling section (Akitaken, 2002)","estimate based on vertical displacement of correrated reflectors on the seismic profiling section (Akitaken, 2002)","N-S trending east-dipping reverse fault along the eastern shore of the Japan Sea in northern Honshu","estimate based on vertical displacement of correrated reflectors on the seismic profiling section (Akitaken, 2002)","estimated based on vertical displacement of recent three faultings from the borehole data at the southern side of Yoneshiro River (Akitaken,2002)",40.1002324672,140.0214048113,40.2998358049,140.0306929186
026-01,Ukai,10Åã,"45 Åã W",11,Rev.,W,"   0.0","   1.3",,,,,,,GO,GO,GO,GO,GO,0,"tentative estimate based on a qualitative assessment of its geomorphic expression","tentative estimate based on a qualitative assessment of its geomorphic expression","N-S trending west-dipping reverse fault along the western margin of the Kitakami Basin in northern Honshu","tentative estimate based on a qualitative assessment of its geomorphic expression","out of current evaluation project because of its low activity",39.6939799935,141.0565467214,39.7908841443,141.0863821463
026-02,Hanamaki,10Åã,"45 Åã W",42,Rev.,W,"   0.6","   5.0","   8.4","AD -2266 to -2065",,"   0.50",0.02,0.4,GO,GO,GO,GO,GO,1,"estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1998; Nakata,1976)","estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1998; Nakata,1976)","N-S trending west-dipping reverse fault along the western margin of the Kitakami Basin in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1998; Nakata,1976)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",39.3049572907,140.9578388457,39.6753198882,141.0718203898
026-03,Kitakami-nishi,350Åã,"45 Åã W",25,Rev.,W,"   0.2","   3.0","  12.0",,,,,0.3,GO,GO,GO,GO,GO,0,"estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1997)","estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1997)","N-S trending west-dipping reverse fault along the western margin of the Kitakami Basin in northern Honshu","estimate based on vertical displacement of dated terrace  surfaces and sediments (Iwateken,1997)","calculated based on empirical relationship between segment length and slip per event proposed by Awata (1999)",39.0680396198,141.0674353128,39.2855952192,140.9759434745
